team_names,overseas_players,total_players,year,short_form,funds_remaining_in_cr
Chennai Super Kings,8,25,2024,CSK,1.0
Delhi Capitals,8,25,2024,DC,9.9
Gujarat Titans,8,25,2024,GT,7.85
Kolkata Knight Riders,8,23,2024,KKR,1.35
Lucknow Super Giants,8,25,2024,LSG,0.95
Mumbai Indians,8,25,2024,MI,1.05
Punjab Kings,8,25,2024,PBKS,4.15
Rajasthan Royals,8,22,2024,RR,0.2
Royal Challengers Bangaluru,8,25,2024,RCB,2.85
Sunrisers Hyderabad,8,25,2024,SRH,3.2
Chennai Super Kings,8,25,2023,CSK,1.5
Delhi Capitals,8,25,2023,DC,4.45
Gujarat Titans,8,25,2023,GT,4.45
Kolkata Knight Riders,8,22,2023,KKR,1.65
Lucknow Super Giants,8,25,2023,LSG,3.55
Mumbai Indians,8,24,2023,MI,0.05
Punjab Kings,7,22,2023,PBKS,12.2
Rajasthan Royals,8,25,2023,RR,3.35
Royal Challengers Bangaluru,8,25,2023,RCB,1.75
Sunrisers Hyderabad,8,25,2023,SRH,6.55
Chennai Super Kings,8,25,2022,CSK,2.95
Delhi Capitals,7,24,2022,DC,0.1
Gujarat Titans,8,23,2022,GT,0.15
Kolkata Knight Riders,8,25,2022,KKR,0.45
Lucknow Super Giants,7,21,2022,LSG,0.0
Mumbai Indians,8,25,2022,MI,0.1
Punjab Kings,7,25,2022,PBKS,3.45
Rajasthan Royals,8,24,2022,RR,0.95
Royal Challengers Bangaluru,8,22,2022,RCB,1.55
Sunrisers Hyderabad,8,23,2022,SRH,0.1
Chennai Super Kings,8,25,2021,CSK,2.55
Delhi Capitals,8,25,2021,DC,2.15
Kolkata Knight Riders,8,25,2021,KKR,3.2
Mumbai Indians,8,25,2021,MI,3.65
Punjab Kings,8,25,2021,PBKS,18.8
Rajasthan Royals,8,24,2021,RR,13.65
Royal Challengers Bangaluru,8,22,2021,RCB,0.35
Sunrisers Hyderabad,8,25,2021,SRH,6.95
Chennai Super Kings,8,24,2020,CSK,0.15
Delhi Capitals,8,22,2020,DC,9.0
Punjab Kings,8,25,2020,PBKS,16.5
Kolkata Knight Riders,8,23,2020,KKR,8.5
Mumbai Indians,8,24,2020,MI,1.95
Rajasthan Royals,8,25,2020,RR,14.75
Royal Challengers Bangaluru,8,21,2020,RCB,6.4
Sunrisers Hyderabad,8,25,2020,SRH,10.1
Chennai Super Kings,8,25,2019,CSK,3.2
Delhi Capitals,8,25,2019,DC,7.7
Punjab Kings,8,23,2019,PBKS,3.7
Kolkata Knight Riders,8,21,2019,KKR,6.05
Mumbai Indians,8,24,2019,MI,3.55
Rajasthan Royals,8,25,2019,RR,7.15
Royal Challengers Bangaluru,8,24,2019,RCB,1.8
Sunrisers Hyderabad,8,23,2019,SRH,5.3
Chennai Super Kings,8,25,2018,CSK,6.5
Delhi Capitals,8,25,2018,DC,1.6
Punjab Kings,7,21,2018,PBKS,0.1
Kolkata Knight Riders,7,19,2018,KKR,0.0
Mumbai Indians,8,25,2018,MI,0.65
Rajasthan Royals,8,23,2018,RR,1.65
Royal Challengers Bangaluru,8,24,2018,RCB,0.15
Sunrisers Hyderabad,8,25,2018,SRH,0.65
Delhi Capitals,9,26,2017,DC,9.05
Gujarat Titans,8,27,2017,GT,10.5
Punjab Kings,9,27,2017,PBKS,13.9
Kolkata Knight Riders,9,23,2017,KKR,5.4
Mumbai Indians,9,27,2017,MI,3.36
Rising Pune Supergiant,8,26,2017,RPS,0.3
Royal Challengers Bangaluru,9,24,2017,RCB,2.42
Sunrisers Hyderabad,9,25,2017,SRH,12.25
Delhi Capitals,9,27,2016,DC,6.15
Gujarat Titans,7,24,2016,GT,10.35
Punjab Kings,7,22,2016,PBKS,12.45
Kolkata Knight Riders,9,22,2016,KKR,12.25
Mumbai Indians,8,26,2016,MI,1.3
Rising Pune Supergiant,7,23,2016,RPS,5.2
Royal Challengers Bangaluru,9,25,2016,RCB,6.18
Sunrisers Hyderabad,7,25,2016,SRH,8.4
Chennai Super Kings,9,25,2015,CSK,0.7
Delhi Capitals,9,25,2015,DC,1.35
Punjab Kings,7,22,2015,PBKS,9.2
Kolkata Knight Riders,9,23,2015,KKR,9.2
Mumbai Indians,9,26,2015,MI,4.9
Rajasthan Royals,8,25,2015,RR,10.65
Royal Challengers Bangaluru,9,26,2015,RCB,2.0
Sunrisers Hyderabad,8,23,2015,SRH,9.35
Chennai Super Kings,9,25,2014,CSK,0.2
Delhi Capitals,7,23,2014,DC,0.0
Punjab Kings,7,23,2014,PBKS,4.1
Kolkata Knight Riders,8,21,2014,KKR,1.0
Mumbai Indians,8,21,2014,MI,0.05
Rajasthan Royals,8,25,2014,RR,5.55
Royal Challengers Bangaluru,7,21,2014,RCB,0.0
Sunrisers Hyderabad,7,24,2014,SRH,1.0
Chennai Super Kings,11,22,2013,CSK,9.81
Delhi Capitals,11,26,2013,DC,3.49
Punjab Kings,8,23,2013,PBKS,32.28
Kolkata Knight Riders,11,23,2013,KKR,8.02
Mumbai Indians,11,28,2013,MI,1.82
Pune Warriors India,11,33,2013,PWI,4.27
Rajasthan Royals,10,21,2013,RR,37.59
Royal Challengers Bangaluru,10,31,2013,RCB,3.78
Sunrisers Hyderabad,11,26,2013,SRH,29.68
